"1","Katona Tours & Travel LTD","info@katonatours.com","For several years, Katona Tours and Travel has got a vast experience in organizing tailor-made safaris to East Africa subject to each individual client’s needs, budget and time scale. It was formed to reach out to clients whose trust in African tour ","Plot, 11 Luwum Street","http://www.katonatours.com","0.312493","32.579273","+256774161700",,"http://www.facebook.com/UgandaSafaris"
"2","Eureka Place Hotel - Uganda","info@eurekauganda.com","Eureka Place- Hotel/ Suites; Kampala is a luxury facility for your treasured Guests' accommodation while in Kampala city. It's a unique facility with excellent room accommodation for up to 40 people (all with En-Suite facilities, Air conditioning, an","Plot 16 Vubyabirenge Road Ntinda","http://eurekauganda.com","0.343302","32.618452","256 414 287 036",,"http://www.facebook.com/eurekaplace"
"4","Mwase Construction company","info@mwaseconstruction.com","Mwase Construction Ltd is a Ugandan registered firm with vast experience in the Uganda Construction Industry. We specialize in Architectural Design, Landscape design, Concept analysis, Stone work,  Fabrication for both steel and Aluminum.","P.O.BOX 29030 Kampala, Uganda","http://www.mwaseconstruction.com","0.352417","32.596284","+256 414 386 111","Mon 8:00 am - 5:00 pm
Tue  8:00 am - 5:00 pm
Wed 8:00 am - 5:00 pm 
Thur  8:00 am - 5:00 pm
Fri     8:00 am - 5:00 pm
Sat    8:00 am - 12:00 pm","http://www.facebook.com/MwaseConstruction"
"5","MOUNTAINS OF THE MOON HOTEL AND RESORT","info@mountainsofthemoon.co.ug","The hotel is ideally located for visitors to the this dynamic area of Western Uganda. There are several vibrant National Parks within one to two hours drive of the hotel for you to experience a wonderful Uganda safari.
","PO. Box 36 Fort Portal","http://www.mountainsofthemoon.co.ug","0.669189","30.285616","+256 (0)483 423200, +256 775 557840, +256 752 557840","Open Mon - Sun 24hrs","http://www.facebook.com/Mountains.of.the.Moon.Hotel"
"6","ugafast.com","bakermjk@yahoo.co.uk",,,"http://ugafast.com","0.569059","31.379271","+256701704043",,"http://www.facebook.com/UGAFAST"
"7","Africa One ePortal LTD","info@africaone.org","Incorporated in 2011, Africa One is one of the premier leading web design, graphic design and web app development firms in Africa, made up of a team of expert, talented professionals in designing, developing and managing web projects.","Plot 86 Bukoto Kisasi Rd","http://www.africaone.org","0.352507","32.596693","256772685270","Mon-Friday 8:00 am - 5:00pm","http://facebook.com/africaone"
"8","DEALING IN COMPUTERS AND ACCESSORIES",,,,,,,,,
"9","Speke Uganda Holidays","spekeugholidays@gmail.com","Speke Uganda Holidays specializes in Organizing Unique, Authentic affordable, Quality, Tours to Uganda and Rwanda with a personal Touch. The company has been in operation since 2008 offering both private and group tours.","Ntinda Rd, P.O Box 23532. Kampala, Uganda","http://www.spekeugandaholidays.com","0.343983","32.616585","+256 312 294531",,
"10","Noel Kaaya",,,,,,,,,
"11","Communications and Advertising Firm",,"Kornzepx offers website designing and development, advertising, branding, event organising, etc.",,"http://www.kornzepx.com",,,,,
"12","Journeys Discovering Africa","enquiries@journeysdiscoveringafrica.com","We are a UK based tour operator offering high-end tailor-made safaris to Uganda, Rwanda, Tanzania and Kenya. Contact us about gorilla safaris and other primate safaris, cultural encounters, birding safaris, hiking and mountaineering.","2409 Kiwafu Road","http://www.journeysdiscoveringafrica.com","0.286768","32.611774","+44 (0)208 144 4412",,
"13","Africa Nature Trekkers","eddie@ugandasafariholiday.com","Africa Nature Trekkers For a wide range of discounted African holiday packages including honeymoon packages, Adventure tours, Gorilla tours, Jungle safaris, group study trips, Queen Elizabeth safaris, Murchison Falls tour, wildlife safari, etc.","P.O. Box 28921 Plot1 Old Kampala Road","http://www.ugandasafariholiday.com","0.316598","32.570901","256792839273",,
"14","Gorilla Trekking Rwanda","eddie@rwandasafariholiday.com","Explore our Discount Safari Travels & Tours. We Specialize in Gorilla Trekking in Uganda & Rwanda. Great deals on Wildlife safaris & Special Interest Group tours",,"http://www.rwandasafariholiday.com","44.583783","22.715846","256792839273",,
"15","MAS CONSULTS","masconsults@gmail.com","We are the Centre of Research and Innovation in Africa","PLOT 165 UCB ROAD, BUKOTO","http://masconsults.com","0.351505","32.593943","+256 701484213","Monday-Friday 8:00am -6:00pm","facebook.com/masconsults"
"18","RESIDE UGANDA LTD","magerojoel3@gmail.com",,"P.O.Box 31202 Kampala",,"0.228760","32.548403","+256392966565","Mon -Fri   8:00am - 5:00pm
Sat          9:00am - 3:00pm
",
"20","Blue Rose Limited",,"The most affordable real estate developer in Africa.",,"http://www.blueroselimited.com",,,,,
